Date,%Gap_CLF,%Gain_CLF,%YesterdaysGain_CLF,%2DaysGain_CLF,NearSigmaFlag_CLF,NearBollingerBandsFlag_CLF,%Gap_NUE,%Gain_NUE,%YesterdaysGain_NUE,%2DaysGain_NUE,NearSigmaFlag_NUE,NearBollingerBandsFlag_NUE,%Gap_STLD,%Gain_STLD,%YesterdaysGain_STLD,%2DaysGain_STLD,NearSigmaFlag_STLD,NearBollingerBandsFlag_STLD,%Gap_X,%Gain_X,%YesterdaysGain_X,%2DaysGain_X,NearSigmaFlag_X,NearBollingerBandsFlag_X,%Gap_TECK,%Gain_TECK,%YesterdaysGain_TECK,%2DaysGain_TECK,NearSigmaFlag_TECK,NearBollingerBandsFlag_TECK,%Gap_KWEB,%Gain_KWEB,%YesterdaysGain_KWEB,%2DaysGain_KWEB,NearSigmaFlag_KWEB,NearBollingerBandsFlag_KWEB,%Gap_XLE,%Gain_XLE,%YesterdaysGain_XLE,%2DaysGain_XLE,NearSigmaFlag_XLE,NearBollingerBandsFlag_XLE,%Gap_BBL,%Gain_BBL,%YesterdaysGain_BBL,%2DaysGain_BBL,NearSigmaFlag_BBL,NearBollingerBandsFlag_BBL
2019-01-30,6.964095457511024,17.736672348933176,-2.7513252288843635,14.497353578948054,Above_upper_sigma,NearSMA20UpperTwoSigma,0.23282785159083277,0.3492417773862492,2.7863266121627936,3.1452994061331467,Standard_range,NearSMA20UpperTwoSigma,1.2538332978329458,2.7027061499000675,0.9563998871579261,3.684954715625848,Standard_range,NearSMA20UpperTwoSigma,1.1262307702153227,4.2702950268321995,-1.8424672289201507,2.3491490114644584,Standard_range,NearSMA20UpperSigma,1.845494932428284,3.433481418903708,2.327618658945465,5.841018432007002,Standard_range,NearSMA20UpperTwoSigma,1.5223581724805713,1.4034256416249884,-0.4027438347134386,0.9950295966651177,Standard_range,NearSMA20UpperTwoSigma,0.6240988624950318,1.4082208829915968,0.3049798454784295,1.717495518342969,Standard_range,NearSMA20UpperSigma,1.4149863180588527,3.0851264150482427,0.9838416424305321,4.099320815871644,Standard_range,NearSMA20UpperTwoSigma
2019-01-31,-1.1090562748951474,-1.0166327151549417,17.736672348933176,16.53972282009914,Standard_range,AboveSMA20UpperTwoSigma,-0.9943627321906142,1.4915504202899914,0.3492417773862492,1.8460013148746734,Standard_range,NearSMA20UpperSigma,-2.3060289602373185,-0.7325025862529324,2.7027061499000675,1.9504061712003002,Below_lower_sigma,NearSMA20UpperSigma,-7.695765694488204,1.4401512694040917,4.2702950268321995,5.7719450042725144,Below_lower_sigma,AboveSMA20LowerSigma,0.16597098566632956,1.0788391069144723,3.433481418903708,4.549362266093956,Standard_range,NearSMA20UpperTwoSigma,0.8210144624717645,2.721088009260506,1.4034256416249884,4.16270209773864,Standard_range,NearSMA20UpperTwoSigma,0.15780699148480334,0.6469936157846834,1.4082208829915968,2.0643255979853827,Standard_range,NearSMA20UpperSigma,0.06751258983189033,1.2151236098436866,3.0851264150482427,4.337738124354705,Standard_range,NearSMA20UpperTwoSigma
2019-02-01,-0.6535919194667901,-1.68067511236839,-1.0166327151549417,-2.680221534495528,Standard_range,NearSMA20UpperTwoSigma,0.032652910709239036,0.39189721945079453,1.4915504202899914,1.8892929843646094,Standard_range,NearSMA20UpperTwoSigma,-0.10932198786698998,1.5304765535821092,-0.7325025862529324,0.7867631869921929,Standard_range,NearSMA20UpperTwoSigma,-0.9760479670236867,-2.2182785256923405,1.4401512694040917,-0.8100738226349253,Standard_range,NearSMA20UpperTwoSigma,-4.310349417491343,-3.40722456038589,1.0788391069144723,-2.365143924489256,Below_lower_sigma,NearSMA20UpperSigma,-0.4110534400832944,-0.9362864554467936,2.721088009260506,1.7593243753422199,Standard_range,NearSMA20UpperTwoSigma,1.081847686755082,1.7403584691065626,0.6469936157846834,2.398612093078133,Standard_range,NearSMA20UpperTwoSigma,-0.578030956378877,0.20008926968391863,1.2151236098436866,1.4176442114842984,Standard_range,NearSMA20UpperTwoSigma
2019-02-04,0.854702325452916,0.854702325452916,-1.68067511236839,-0.840337556184195,Standard_range,NearSMA20UpperTwoSigma,-0.016262722198516523,1.008456305304335,0.39189721945079453,1.4043056369749933,Standard_range,NearSMA20UpperTwoSigma,-0.5114466584177478,0.969035749308169,1.5304765535821092,2.5143431678292685,Standard_range,NearSMA20UpperTwoSigma,-0.7259607446205675,2.8584352749403132,-2.2182785256923405,0.5767486933731569,Standard_range,NearSMA20UpperSigma,-1.1049733161690876,0.6374824230897961,-3.40722456038589,-2.791462594983753,Standard_range,NearSMA20UpperSigma,0.18441220467424393,0.9912408819460267,-0.9362864554467936,0.04567357238072124,Standard_range,NearSMA20UpperTwoSigma,-0.6780743497378446,0.2311627789949328,1.7403584691065626,1.9755443091031555,Standard_range,NearSMA20UpperTwoSigma,-0.7765664000243762,0.022192447965819227,0.20008926968391863,0.2223261223567977,Standard_range,NearSMA20UpperTwoSigma
2019-02-05,0.28248336435467214,-1.412425801757688,0.854702325452916,-0.5697955124776921,Standard_range,NearSMA20UpperTwoSigma,-0.2737490710505391,-1.159416141219225,1.008456305304335,-0.16265204109573148,Standard_range,NearSMA20UpperTwoSigma,-0.3199118561833642,-1.7595304637303415,0.969035749308169,-0.8075451936356873,Standard_range,NearSMA20UpperTwoSigma,0.35288894325902864,1.852669055493917,2.8584352749403132,4.7640616762443715,Standard_range,NearSMA20UpperTwoSigma,0.337837511296706,0.9712818381427837,0.6374824230897961,1.6149560122294035,Standard_range,NearSMA20UpperSigma,0.43368778989543233,2.3054058202996397,0.9912408819460267,3.31949882723124,Standard_range,NearSMA20UpperTwoSigma,-0.07688045980004747,0.15374918928886513,0.2311627789949328,0.38526737918244025,Standard_range,NearSMA20UpperTwoSigma,-0.3327451636782616,-0.02218752401109816,0.022192447965819227,0.0,Standard_range,NearSMA20UpperTwoSigma
2019-02-06,0.3820435609633331,5.826166581850092,-1.412425801757688,4.331450500036969,Standard_range,AboveSMA20UpperSigma,-0.4235942191365174,-1.5314474178048776,-1.159416141219225,-2.673107710467788,Standard_range,NearSMA20UpperSigma,-0.10854030525444952,0.2985091313608073,-1.7595304637303415,-1.4662736914728445,Standard_range,NearSMA20UpperSigma,-0.43308956608438426,0.34647000076822615,1.852669055493917,2.2055579987529454,Standard_range,NearSMA20UpperTwoSigma,-0.836473292412422,-0.8782897775525724,0.9712818381427837,0.0844613914945784,Standard_range,NearSMA20UpperSigma,-0.17848732017430152,-1.6956678418294748,2.3054058202996397,0.5706459533516786,Standard_range,NearSMA20UpperTwoSigma,-0.47589432222655575,-0.7368678723312052,0.15374918928886513,-0.5842516114221794,Standard_range,NearSMA20UpperTwoSigma,-1.1981382719852773,-0.621253120019501,-0.02218752401109816,-0.643302803345425,Standard_range,NearSMA20UpperSigma
2019-02-07,-0.8122757509712059,-1.6245515019424117,5.826166581850092,4.106966003196568,Standard_range,NearSMA20UpperTwoSigma,-0.7610838764469651,-1.819984280467848,-1.5314474178048776,-3.323559596005046,Standard_range,NearSMA20UpperSigma,-0.703458679582142,-2.5974001846660313,0.2985091313608073,-2.3066445300344345,Standard_range,NearSMA20UpperSigma,-0.8631884431631255,-2.589557097514248,0.34647000076822615,-2.252059135241673,Standard_range,NearSMA20UpperTwoSigma,-0.46413758147879225,-1.0548522867177879,-0.8782897775525724,-1.9238774044678386,Standard_range,NearSMA20UpperSigma,-1.044037414508073,-2.723560430179397,-1.6956678418294748,-4.373045733641527,Standard_range,NearSMA20UpperSigma,-0.6186228011510403,-2.211574449246476,-0.7368678723312052,-2.9321459399884984,Standard_range,NearSMA20UpperSigma,0.022322664275135143,-0.7144444927065954,-0.621253120019501,-1.331259104024349,Standard_range,NearSMA20UpperSigma
2019-02-08,2.752295424165495,8.532113190121228,-1.6245515019424117,6.768953115201275,Above_upper_sigma,NearSMA20UpperTwoSigma,-0.03370484953192173,0.8088971031379325,-1.819984280467848,-1.0258089774521857,Standard_range,BelowSMA20UpperSigma,-0.611114501953125,-0.6666713290744358,-2.5974001846660313,-3.2467553914079725,Standard_range,BelowSMA20UpperSigma,-0.7089049604586425,-2.747004609073808,-2.589557097514248,-5.265426453764741,Standard_range,NearSMA20UpperSigma,-0.5543755389581436,-1.5351837895054998,-1.0548522867177879,-2.573842154914368,Standard_range,BelowSMA20UpperSigma,-0.5133019542001365,0.9099379003607497,-2.723560430179397,-1.8384052384120781,Standard_range,BelowSMA20UpperSigma,-0.26885682457068066,-0.4586445004378598,-2.211574449246476,-2.660075685099778,Standard_range,BelowSMA20UpperSigma,-0.35979276595481857,0.20238396698309696,-0.7144444927065954,-0.5135064468297302,Standard_range,NearSMA20UpperSigma
2019-02-11,0.9298364952379817,-1.5215579571989972,8.532113190121228,6.880734185760716,Standard_range,NearSMA20UpperTwoSigma,-0.28418283151549595,0.13373759856707165,0.8088971031379325,0.9437165012656192,Standard_range,BelowSMA20UpperSigma,0.3635376795780023,1.2304319408798703,-0.6666713290744358,0.5555576748318142,Standard_range,BelowSMA20UpperSigma,0.22778694907822492,2.5968059775521986,-2.747004609073808,-0.22153301141367215,Standard_range,BelowSMA20UpperSigma,-0.8661791321687531,-2.5552193533518204,-1.5351837895054998,-4.051175829558356,Standard_range,AboveSMA20LowerSigma,1.9884407175758672,1.5722550408688585,0.9099379003607497,2.4964994857368064,Above_upper_sigma,NearSMA20UpperSigma,-0.47664322149068694,0.476649282338102,-0.4586445004378598,0.01581865618042197,Standard_range,AboveSMA20LowerSigma,-0.6283720497413747,0.08976009783977483,0.20238396698309696,0.2923257248696478,Standard_range,NearSMA20UpperSigma
2019-02-12,1.115880847190278,0.17167775466584154,-1.5215579571989972,-1.3524923790700143,Standard_range,NearSMA20UpperTwoSigma,0.8514162079158979,2.804674895458829,0.13373759856707165,2.942163398878701,Standard_range,NearSMA20UpperSigma,0.9668465932172366,2.2099425972376325,1.2304319408798703,3.4675663777090246,Standard_range,NearSMA20UpperSigma,1.0213157561837936,1.2877432284549077,2.5968059775521986,3.917989399139147,Standard_range,NearSMA20UpperSigma,0.7111104329427084,1.2888929578993056,-2.5552193533518204,-1.2992604377567465,Standard_range,NearSMA20LowerSigma,0.9333026281900655,1.3202777426092738,1.5722550408688585,2.913290916839776,Standard_range,NearSMA20UpperSigma,1.3440775408980596,1.2650208978930917,0.476649282338102,1.7476998932624281,Standard_range,NearSMA20UpperSigma,0.3811703799524298,0.7623322067716525,0.08976009783977483,0.8527765747460897,Standard_range,NearSMA20UpperSigma
